timepoint,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Combo,Treatment
76,,,,,,,,,,,,,,0,473.6732,,,,,,,oHSV + Trab.
77,,,,,,0,0,0,,,,,,,,,,,,,,oHSV + Trab.
79,,,,,,,,,,,,,,0,670.8,,,,,,,oHSV + Trab.
83,,,,,,,,,,,,,,0,998.41872,,,,,,,oHSV + Trab.
84,,,,,,0,0,0,,,,,,,,,,,,,,oHSV + Trab.
85,,,,,,,,,,,,,,0,1572.792,,,,,,,oHSV + Trab.
87,,,,,,0,0,0,,,,,,,,,,,,,,oHSV + Trab.
91,,,,,,0,0,0,,,,,,,,,,,,,,oHSV + Trab.
94,,,,,,0,0,0,,,,,,,,,,,,,,oHSV + Trab.
97,,,,,,0,0,0,,,,,,,,,,,,,,oHSV + Trab.
105,,,,,,0,0,0,,,,,,,,,,,,,,oHSV + Trab.
108,,,,,,0,0,0,,,,,,,,,,,,,,oHSV + Trab.
114,,,,,,0,0,0,,,,,,,,,,,,,,oHSV + Trab.
117,,,,,,0,0,0,,,,,,,,,,,,,,oHSV + Trab.
121,,,,,,0,0,0,,,,,,,,,,,,,,oHSV + Trab.
