timepoint,3R,3L,3B,3N,3-2R,Treatment
0,493,392,373,198,394,oHSV
7,1184,991,499,682,843,oHSV
10,1341,642,393,1120,963,oHSV
11,,,,,,oHSV
14,952,784,716,2217,1056,oHSV
17,1191,1223,1192,,1158,oHSV
18,1709,2077,1341,,1310,oHSV
20,2819,,2235,,1893,oHSV
21,,,,,2268,oHSV
